date,value
2016-01-01,52.66317300825904
2016-01-02,53.52967485697441
2016-01-03,51.016565846535464
2016-01-04,55.921084823067694
2016-01-05,58.7541202025549
2016-01-06,57.3200829164066
2016-01-07,60.161588334335775
2016-01-08,60.30231600511267
2016-01-09,60.113801815550794
2016-01-10,59.34136474176565
2016-01-11,59.72630641775159
2016-01-12,60.05752300239837
2016-01-13,54.187721181891206
2016-01-14,56.38391458672341
2016-01-15,52.81637716842692
2016-01-16,51.1902752256607
2016-01-17,45.967678668160325
2016-01-18,46.54290732613927
2016-01-19,47.45122148074844
2016-01-20,40.78894197365551
2016-01-21,37.784289400839796
2016-01-22,37.42269024525065
2016-01-23,41.02692137431837
2016-01-24,45.28471570773946
2016-01-25,43.216817343867305
2016-01-26,45.184990388771276
2016-01-27,43.28685017689655
2016-01-28,47.45814023126242
2016-01-29,45.950137593310444
2016-01-30,49.72729146154169
2016-01-31,50.06536562265285
2016-02-01,51.60049887996662
2016-02-02,54.9727830222779
2016-02-03,55.58556849307005
2016-02-04,60.7283944165009
2016-02-05,59.75028059631057
2016-02-06,61.030985139456234
2016-02-07,60.009954279511675
2016-02-08,63.218163481193045
2016-02-09,58.826626158949125
2016-02-10,60.780717140297014
2016-02-11,57.54970447189421
2016-02-12,54.83898580339964
2016-02-13,53.94869199698871
2016-02-14,51.3499346236377
2016-02-15,50.47460472257898
2016-02-16,48.16260259969555
2016-02-17,47.49697344186844
2016-02-18,46.21245281638853
2016-02-19,43.25371122977202
2016-02-20,42.28793528852324
2016-02-21,42.087623244656335
2016-02-22,40.01502290365186
2016-02-23,42.53110108617047
2016-02-24,43.25388431381377
2016-02-25,42.84690755681058
2016-02-26,48.47795907499513
2016-02-27,47.09706535209612
2016-02-28,46.868088626853684
2016-02-29,48.37652219753793
2016-03-01,50.7356354881118
2016-03-02,52.29565910898785
2016-03-03,57.56493673697774
2016-03-04,55.742232461981295
2016-03-05,58.549203887140045
2016-03-06,58.901661875845406
2016-03-07,62.92293087656807
2016-03-08,58.448106895235945
2016-03-09,60.58022058737145
2016-03-10,60.64675378062776
2016-03-11,60.69896688002684
2016-03-12,59.77325405811738
2016-03-13,56.886272738263685
2016-03-14,57.505511345756894
2016-03-15,54.18862446580106
2016-03-16,56.43530211286921
2016-03-17,46.42424011749599
2016-03-18,48.71383489525924
2016-03-19,43.5918824020464
2016-03-20,42.55253410988156
2016-03-21,46.90991514500709
2016-03-22,45.599063133727064
2016-03-23,37.982410085094976
2016-03-24,41.26923364811126
2016-03-25,42.03773914162606
2016-03-26,38.77632174519241
2016-03-27,44.19089072254854
2016-03-28,46.64882991123875
2016-03-29,48.127163859478046
2016-03-30,45.71209555234031
2016-03-31,54.01541646956529
2016-04-01,54.388204861473575
2016-04-02,55.78354237177318
2016-04-03,56.23006660142933
2016-04-04,60.735366287813626
2016-04-05,62.39679234080322
2016-04-06,60.46637888528058
2016-04-07,62.064394178861754
2016-04-08,63.55921619900727
2016-04-09,57.58154092294852
2016-04-10,60.89520535989766
2016-04-11,55.63653447852516
2016-04-12,56.072033993226846
2016-04-13,57.06686929892412
2016-04-14,53.870383382123656
2016-04-15,51.29972329602855
2016-04-16,49.44891538594398
2016-04-17,49.76905078728533
2016-04-18,47.69580838657854
2016-04-19,43.17401389273171
2016-04-20,44.12562741181954
2016-04-21,41.76782033407743
2016-04-22,47.103432258191965
2016-04-23,40.83606756929992
2016-04-24,42.143777322374284
2016-04-25,42.94198212572063
2016-04-26,44.01049927278604
2016-04-27,46.74435581320412
2016-04-28,48.83873220943262
2016-04-29,47.063741596190795
2016-04-30,51.25377327688078
2016-05-01,51.85822181639469
2016-05-02,58.979777083131616
2016-05-03,63.26850268704768
2016-05-04,62.677912713844954
2016-05-05,61.85272026854674
2016-05-06,64.07559737741981
2016-05-07,62.8188394877222
2016-05-08,65.81865220263933
2016-05-09,63.42634438061842
2016-05-10,60.800360750294956
2016-05-11,57.79234586590635
2016-05-12,57.23792731446775
